trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,nidaqTrigger.started,text_waiting_message.started,key_resp_start.started,nidaqTrigger.stopped,key_resp_start.keys,key_resp_start.rt,key_resp_start.duration,display_gratings.started,stim_grayScreen.started,stim_grating.started,display_gratings.stopped,encoder_data,Protocol ID,Subject ID,Session ID,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.026028700056485832,0.044287399970926344,0.044287399970926344,2.359280399978161,space,2.2982451000716537,None,,,,,,devJG,01,01,2024-07-15_20h04.25.147,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-15 20h04.29.845072 -0400,
0,0,0,0,2.670294599956833,,,,,,,,,2.504266500007361,2.670294599956833,5.6218876000493765,7.558604700025171,,devJG,01,01,2024-07-15_20h04.25.147,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-15 20h04.29.845072 -0400,
1,0,1,0,7.622944499948062,,,,,,,,,7.558799699996598,7.622944499948062,10.555086800013669,12.558805800043046,,devJG,01,01,2024-07-15_20h04.25.147,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-15 20h04.29.845072 -0400,
2,0,2,0,12.623433300061151,,,,,,,,,12.559011899982579,12.623433300061151,15.556582499993965,17.557229300029576,,devJG,01,01,2024-07-15_20h04.25.147,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-15 20h04.29.845072 -0400,
3,0,3,0,17.621501100016758,,,,,,,,,17.557385400054045,17.621501100016758,20.556230299989693,22.56525410001632,,devJG,01,01,2024-07-15_20h04.25.147,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-15 20h04.29.845072 -0400,
4,0,4,0,22.62484599999152,,,,,,,,,22.565378200029954,22.62484599999152,25.55665499996394,27.561260699993,,devJG,01,01,2024-07-15_20h04.25.147,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-15 20h04.29.845072 -0400,
5,0,5,0,27.623700500000268,,,,,,,,,27.56150199996773,27.623700500000268,30.57157360005658,32.510345999966376,,devJG,01,01,2024-07-15_20h04.25.147,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-15 20h04.29.845072 -0400,
6,0,6,0,32.57316669996362,,,,,,,,,32.51093450002372,32.57316669996362,35.57253000000492,37.50967459997628,,devJG,01,01,2024-07-15_20h04.25.147,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-15 20h04.29.845072 -0400,
7,0,7,0,37.57407740002964,,,,,,,,,37.50991220003925,37.57407740002964,40.59221459995024,42.524479200015776,,devJG,01,01,2024-07-15_20h04.25.147,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-15 20h04.29.845072 -0400,
8,0,8,0,42.58864319999702,,,,,,,,,42.524611399974674,42.58864319999702,45.59093519998714,47.52761330001522,,devJG,01,01,2024-07-15_20h04.25.147,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-15 20h04.29.845072 -0400,
9,0,9,0,47.589758199988864,,,,,,,,,47.527863800060004,47.589758199988864,50.590629999991506,52.527977799996734,,devJG,01,01,2024-07-15_20h04.25.147,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-15 20h04.29.845072 -0400,
,,,,,,,,,,,,,,,,,[],,,,,,,,,
