trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,nidaqTrigger.started,text_waiting_message.started,key_resp.started,nidaqTrigger.stopped,key_resp.keys,key_resp.rt,key_resp.duration,display_gratings.started,stim_grayScreen.started,stim_grating.started,display_gratings.stopped,encoder_data,Protocol ID,Subject ID,Session ID,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.06492500001331791,0.07770850002998486,0.07770850002998486,7.4226264000171795,left,7.331937700044364,None,,,,,,devJG,01,01,2024-07-16_22h50.08.471,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-16 22h50.11.754314 -0400,
0,0,0,0,7.435401700029615,,,,,,,,,7.42296900000656,7.435401700029615,10.453278200002387,12.423277400026564,"    timestamp     speed  distance direction
0    7.423058  0.000000  0.000000         0
1    7.485029  0.000000  0.000000         0
2    7.535556  0.000000  0.000000         0
3    7.586304  0.000000  0.000000         0
4    7.636672  0.000000  0.000000         0
..        ...       ...       ...       ...
83  12.139446  2.780999  2.039527         1
84  12.206104  2.667577  2.217341         1
85  12.256291  0.150235  2.224881         1
86  12.323009 -0.075341  2.219855         2
87  12.374360 -0.305893  2.204147         2

[88 rows x 4 columns]",devJG,01,01,2024-07-16_22h50.08.471,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-16 22h50.11.754314 -0400,
1,0,1,0,12.437664700031746,,,,,,,,,12.423465400002897,12.437664700031746,15.4249272000161,17.42693270003656,"     timestamp     speed  distance direction
0     7.423058  0.000000  0.000000         0
1     7.485029  0.000000  0.000000         0
2     7.535556  0.000000  0.000000         0
3     7.586304  0.000000  0.000000         0
4     7.636672  0.000000  0.000000         0
..         ...       ...       ...       ...
168  17.128459 -1.851144 -4.032558         2
169  17.179290 -2.892436 -4.179585         2
170  17.247397 -1.937352 -4.311532         2
171  17.311761 -1.854773 -4.430913         2
172  17.366637 -0.435095 -4.454789         2

[173 rows x 4 columns]",devJG,01,01,2024-07-16_22h50.08.471,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-16 22h50.11.754314 -0400,
2,0,2,0,17.441700800030958,,,,,,,,,17.427145100024063,17.441700800030958,20.44526260002749,22.431230600050185,"     timestamp      speed  distance direction
0     7.423058   0.000000  0.000000         0
1     7.485029   0.000000  0.000000         0
2     7.535556   0.000000  0.000000         0
3     7.586304   0.000000  0.000000         0
4     7.636672   0.000000  0.000000         0
..         ...        ...       ...       ...
255  22.214342 -13.552322 -9.749013         2
256  22.264376  -1.230683 -9.810588         2
257  22.314643   0.000000 -9.810588         0
258  22.364688   0.000000 -9.810588         0
259  22.414976   0.000000 -9.810588         0

[260 rows x 4 columns]",devJG,01,01,2024-07-16_22h50.08.471,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-16 22h50.11.754314 -0400,
