trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,nidaqTrigger.started,text_waiting_message.started,key_resp.started,nidaqTrigger.stopped,key_resp.keys,key_resp.rt,key_resp.duration,display_gratings.started,stim_grayScreen.started,stim_grating.started,display_gratings.stopped,encoder_data,Protocol ID,Subject ID,Session ID,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.019835299986880273,0.08240260003367439,0.08240260003367439,8.21402080002008,left,8.116164200007915,None,,,,,,devJG,01,01,2024-07-16_17h04.20.336,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-16 17h04.23.542490 -0400,
0,0,0,0,8.229873100004625,,,,,,,,,8.214521099987905,8.229873100004625,11.246034100011457,13.216557200008538,"Empty DataFrame
Columns: [timestamp, speed, distance, direction]
Index: []",devJG,01,01,2024-07-16_17h04.20.336,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-16 17h04.23.542490 -0400,
1,0,1,0,13.229911000002176,,,,,,,,,13.216848900017794,13.229911000002176,16.216802200011443,18.22160889999941,"Empty DataFrame
Columns: [timestamp, speed, distance, direction]
Index: []",devJG,01,01,2024-07-16_17h04.20.336,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-16 17h04.23.542490 -0400,
2,0,2,0,18.23611019999953,,,,,,,,,18.221796000027098,18.23611019999953,21.22176019998733,23.226260900031775,"Empty DataFrame
Columns: [timestamp, speed, distance, direction]
Index: []",devJG,01,01,2024-07-16_17h04.20.336,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-16 17h04.23.542490 -0400,
