trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,nidaqTrigger.started,text_waiting_message.started,key_resp_start.started,nidaqTrigger.stopped,key_resp_start.keys,key_resp_start.rt,key_resp_start.duration,display_gratings.started,stim_grayScreen.started,stim_grating.started,display_gratings.stopped,encoder_data,Protocol ID,Subject ID,Session ID,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.015229100012220442,0.03097000007983297,0.03097000007983297,4.461792399990372,space,4.42228470009286,None,,,,,,devJG,01,01,2024-07-15_19h57.59.142,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-15 19h58.05.624021 -0400,
0,0,0,0,4.754230200080201,,,,,,,,,4.6101709000067785,4.754230200080201,7.6944647000636905,9.62758670002222,,devJG,01,01,2024-07-15_19h57.59.142,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-15 19h58.05.624021 -0400,
1,0,1,0,9.69301990000531,,,,,,,,,9.627715000067838,9.69301990000531,12.694960199994966,14.631390499998815,,devJG,01,01,2024-07-15_19h57.59.142,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-15 19h58.05.624021 -0400,
2,0,2,0,14.694608499994501,,,,,,,,,14.63164440006949,14.694608499994501,17.695473900064826,19.631321100052446,,devJG,01,01,2024-07-15_19h57.59.142,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-15 19h58.05.624021 -0400,
3,0,3,0,19.69351909996476,,,,,,,,,19.631551400059834,19.69351909996476,22.695279499981552,24.63060769997537,,devJG,01,01,2024-07-15_19h57.59.142,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-15 19h58.05.624021 -0400,
4,0,4,0,24.693388300016522,,,,,,,,,24.63085299998056,24.693388300016522,27.69538459996693,29.62915759999305,,devJG,01,01,2024-07-15_19h57.59.142,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-15 19h58.05.624021 -0400,
5,0,5,0,29.693441800074652,,,,,,,,,29.62931640003808,29.693441800074652,32.69730540004093,34.62999589997344,,devJG,01,01,2024-07-15_19h57.59.142,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-15 19h58.05.624021 -0400,
6,0,6,0,34.695674500078894,,,,,,,,,34.63016639999114,34.695674500078894,37.694752100040205,39.63200360001065,,devJG,01,01,2024-07-15_19h57.59.142,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-15 19h58.05.624021 -0400,
7,0,7,0,39.69602999999188,,,,,,,,,39.63221219996922,39.69602999999188,42.695729800034314,44.63262849999592,,devJG,01,01,2024-07-15_19h57.59.142,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-15 19h58.05.624021 -0400,
8,0,8,0,44.69444980006665,,,,,,,,,44.63294520007912,44.69444980006665,47.69707260001451,49.63088379998226,,devJG,01,01,2024-07-15_19h57.59.142,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-15 19h58.05.624021 -0400,
9,0,9,0,49.69624630000908,,,,,,,,,49.63109500007704,49.69624630000908,52.69520860002376,54.63204539997969,,devJG,01,01,2024-07-15_19h57.59.142,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-15 19h58.05.624021 -0400,
,,,,,,,,,,,,,,,,,[],,,,,,,,,
