4.7463 	DEBUG 	Fullscreen settings ignored as running in pilot mode.
4.7471 	INFO 	Loaded monitor calibration from ['2024_06_26 12:00']
4.8499 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x000002CA0B04A9D0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x000002CA0B04A970>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000002CA0B04A7C0>, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000002CA0C3BAEE0>, multiSample=False, name='window1', numSamples=2, pos=[560.0, 240.0], screen=1, size=array([800, 600]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
4.8500 	EXP 	window1: backgroundImage = ''
4.8500 	EXP 	window1: backgroundFit = 'none'
4.8501 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000002CA0B04AAF0>
4.8502 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000002CA0B04AAF0>
4.8514 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000002CA0B04AAF0>
4.8517 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000002CA0B04AAF0>
4.8544 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.8552 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.8560 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.8569 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.8577 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.8584 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.8593 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.8603 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.8611 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.8619 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.8627 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.8636 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.8644 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.8651 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.8658 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.8666 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.8674 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.8680 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.8687 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.8696 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.8702 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.8705 	DEBUG 	Uploading Texture Font fontname to graphics card
4.8714 	DEBUG 	Upload of Texture Font fontname complete
4.8722 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000002CA0B04AAF0>
4.8723 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000002CA0B04AAF0>
4.8726 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000002CA0B04AAF0>
4.8729 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000002CA0B04AAF0>
4.8750 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.8760 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.8769 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.8771 	DEBUG 	Uploading Texture Font fontname to graphics card
4.8779 	DEBUG 	Upload of Texture Font fontname complete
4.8789 	EXP 	window1: Attempting to measure frame rate of screen (1) ...
4.8789 	EXP 	window1: recordFrameIntervals = False
5.0800 	EXP 	window1: recordFrameIntervals = True
5.3142 	EXP 	Screen (1) actual frame rate measured at 59.19Hz
5.3143 	EXP 	window1: recordFrameIntervals = False
5.3144 	EXP 	window1: mouseVisible = False
5.3153 	EXP 	window1: mouseVisible = False
5.3156 	EXP 	window1: mouseVisible = False
5.3170 	EXP 	window1: mouseVisible = False
5.3180 	EXP 	window1: mouseVisible = False
5.3231 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
5.3245 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
5.3260 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
5.3278 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
5.3295 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
5.3312 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
5.3325 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
5.3342 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
5.3360 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
5.3377 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
5.3381 	DEBUG 	Uploading Texture Font fontname to graphics card
5.3389 	DEBUG 	Upload of Texture Font fontname complete
5.3406 	EXP 	window1: mouseVisible = False
5.3408 	EXP 	window1: mouseVisible = False
5.3415 	EXP 	window1: mouseVisible = False
5.3422 	EXP 	window1: mouseVisible = False
5.3479 	WARNING 	launchHubServer: If using the iohub mouse or eyetracker devices, fullScr should be True.
6.7087 	INFO 	keyboard.Keyboard is using iohub backend.
6.7087 	INFO 	keyboard.Keyboard is using iohub backend.
6.7087 	EXP 	Gratings_vis_devJG_v0.4: status = STARTED
6.7090 	EXP 	window1: mouseVisible = False
6.7430 	EXP 	Created text_waiting_message = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_waiting_message', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
6.7448 	EXP 	window1: mouseVisible = False
6.7464 	EXP 	Created stim_grayScreen = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([0., 0., 0.]), colorSpace='rgb', contrast=1.0, depth=-1.0, draggable=False, flipHoriz=False, flipVert=False, image=None, interpolate=True, mask=None, maskParams=None, name='stim_grayScreen', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([1., 1.]), texRes=128.0, units='height', win=Window(...))
6.7465 	EXP 	window1: mouseVisible = False
6.7471 	EXP 	Created stim_grating = GratingStim(__class__=<class 'psychopy.visual.grating.GratingStim'>, anchor='center', autoDraw=False, autoLog=True, blendmode='avg', color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, draggable=False, interpolate=True, mask=None, maskParams=None, name='stim_grating', opacity=1.0, ori=1.0, phase=array([1., 1.]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([4., 4.]), size=array([2., 2.]), tex='sin', texRes=256.0, units='height', win=Window(...))
0.0356 	INFO 	Keyboard events cleared
0.0354 	EXP 	text_waiting_message: autoDraw = True
5.1927 	DATA 	Keypress: lwindows
5.2234 	DATA 	Keypress: lshift
5.3069 	EXP 	Created sequence: sequential, trialTypes=1, nReps=10, seed=None
5.3070 	EXP 	New trial (rep=0, index=0): None
5.3226 	EXP 	text_waiting_message: autoDraw = False
5.3226 	EXP 	stim_grating: ori = 0.0
5.3226 	EXP 	stim_grayScreen: autoDraw = True
5.4436 	DATA 	Keypress: left
8.3085 	EXP 	stim_grating: autoDraw = True
8.3085 	EXP 	stim_grating: tex = 'sin'
10.3126 	EXP 	New trial (rep=1, index=0): None
10.3259 	EXP 	stim_grayScreen: autoDraw = False
10.3259 	EXP 	stim_grating: autoDraw = False
10.3259 	EXP 	stim_grating: ori = 45.0
10.3259 	EXP 	stim_grayScreen: autoDraw = True
13.3130 	EXP 	stim_grating: autoDraw = True
15.3167 	EXP 	New trial (rep=2, index=0): None
15.3299 	EXP 	stim_grayScreen: autoDraw = False
15.3299 	EXP 	stim_grating: autoDraw = False
15.3299 	EXP 	stim_grating: ori = 90.0
15.3299 	EXP 	stim_grayScreen: autoDraw = True
18.3169 	EXP 	stim_grating: autoDraw = True
20.3217 	EXP 	New trial (rep=3, index=0): None
