trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,nidaqTrigger.started,text_waiting_message.started,key_resp.started,nidaqTrigger.stopped,key_resp.keys,key_resp.rt,key_resp.duration,display_gratings.started,stim_grayScreen.started,stim_grating.started,display_gratings.stopped,Protocol ID,Subject ID,Session ID,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.01069570000981912,0.027202700031921268,0.027202700031921268,26.00346580002224,left,25.957141600025352,None,,,,,devJG,01,01,2024-07-16_15h51.14.430,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-16 15h51.17.588923 -0400,
0,0,0,0,26.016119900043122,,,,,,,,,26.004034899990074,26.016119900043122,29.401785399997607,31.005120199988596,devJG,01,01,2024-07-16_15h51.14.430,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-16 15h51.17.588923 -0400,
1,0,1,0,31.018478000012692,,,,,,,,,31.005354100023396,31.018478000012692,34.00622949999524,36.00916509999661,devJG,01,01,2024-07-16_15h51.14.430,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-16 15h51.17.588923 -0400,
2,0,2,0,36.022787099995185,,,,,,,,,36.009402800002135,36.022787099995185,39.00950660003582,41.0136336000287,devJG,01,01,2024-07-16_15h51.14.430,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-16 15h51.17.588923 -0400,
3,0,3,0,41.02692259999458,,,,,,,,,41.013856400037184,41.02692259999458,44.013730600010604,46.016058600042015,devJG,01,01,2024-07-16_15h51.14.430,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-16 15h51.17.588923 -0400,
4,0,4,0,46.030747700016946,,,,,,,,,46.01618289999897,46.030747700016946,49.01763100002427,51.00580139999511,devJG,01,01,2024-07-16_15h51.14.430,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-16 15h51.17.588923 -0400,
5,0,5,0,51.01855259999866,,,,,,,,,51.00606939999852,51.01855259999866,54.00488530000439,56.00741870002821,devJG,01,01,2024-07-16_15h51.14.430,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-16 15h51.17.588923 -0400,
6,0,6,0,56.022247200016864,,,,,,,,,56.00754290004261,56.022247200016864,59.009519700019155,61.01178350002738,devJG,01,01,2024-07-16_15h51.14.430,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-16 15h51.17.588923 -0400,
7,0,7,0,61.02623860002495,,,,,,,,,61.011907800042536,61.02623860002495,64.0129834000254,66.0036822000402,devJG,01,01,2024-07-16_15h51.14.430,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-16 15h51.17.588923 -0400,
8,0,8,0,66.01466069999151,,,,,,,,,66.0041717000422,66.01466069999151,69.01737050001975,71.00546100002248,devJG,01,01,2024-07-16_15h51.14.430,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-16 15h51.17.588923 -0400,
9,0,9,0,71.01799800002482,,,,,,,,,71.00570490001701,71.01799800002482,74.00501900003292,76.01060249999864,devJG,01,01,2024-07-16_15h51.14.430,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-16 15h51.17.588923 -0400,
