trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,nidaqTrigger.started,text_waiting_message.started,key_resp.started,nidaqTrigger.stopped,key_resp.keys,key_resp.rt,key_resp.duration,display_gratings.started,stim_grayScreen.started,stim_grating.started,display_gratings.stopped,encoder_data,Protocol ID,Subject ID,Session ID,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.01970090001123026,0.039664700045250356,0.039664700045250356,6.110928600013722,left,6.067308099998627,None,,,,,,devJG,01,01,2024-07-16_17h06.55.321,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-16 17h06.58.518121 -0400,
0,0,0,0,6.126095200015698,,,,,,,,,6.111421100038569,6.126095200015698,9.12707980000414,11.112381100014318,"Empty DataFrame
Columns: [timestamp, speed, distance, direction]
Index: []",devJG,01,01,2024-07-16_17h06.55.321,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-16 17h06.58.518121 -0400,
1,0,1,0,11.127470700012054,,,,,,,,,11.112565900024492,11.127470700012054,14.11451580002904,16.116492400004063,"Empty DataFrame
Columns: [timestamp, speed, distance, direction]
Index: []",devJG,01,01,2024-07-16_17h06.55.321,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-16 17h06.58.518121 -0400,
2,0,2,0,16.13129700004356,,,,,,,,,16.11666470003547,16.13129700004356,19.118256300047506,21.121406300051603,"Empty DataFrame
Columns: [timestamp, speed, distance, direction]
Index: []",devJG,01,01,2024-07-16_17h06.55.321,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-16 17h06.58.518121 -0400,
