trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,nidaqTrigger.started,text_waiting_message.started,key_resp.started,nidaqTrigger.stopped,key_resp.keys,key_resp.rt,key_resp.duration,display_gratings.started,stim_grayScreen.started,Protocol ID,Subject ID,Session ID,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.012347000010777265,0.03013570001348853,0.03013570001348853,12.724593400023878,left,12.680577900027856,None,,,devJG,01,01,2024-07-16_15h48.12.194,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-16 15h48.15.408018 -0400,
,,,,12.741606800002046,,,,,,,,,12.725121400028002,12.741606800002046,,,,,,,,,
