trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,nidaqTrigger.started,text_waiting_message.started,key_resp.started,nidaqTrigger.stopped,key_resp.keys,key_resp.rt,key_resp.duration,display_gratings.started,stim_grayScreen.started,stim_grating.started,display_gratings.stopped,encoder_data,Protocol ID,Subject ID,Session ID,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.05784049996873364,0.06902489997446537,0.06902489997446537,27.227002699975856,left,27.14516569999978,None,,,,,,devJG,01,01,2024-07-16_22h44.03.998,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-16 22h44.07.161413 -0400,
0,0,0,0,27.243269499973394,,,,,,,,,27.227509499993175,27.243269499973394,30.244366800005082,32.23225930001354,,devJG,01,01,2024-07-16_22h44.03.998,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-16 22h44.07.161413 -0400,
1,0,1,0,32.245181099977344,,,,,,,,,32.232517199998256,32.245181099977344,35.23232619999908,37.23407429998042,,devJG,01,01,2024-07-16_22h44.03.998,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-16 22h44.07.161413 -0400,
2,0,2,0,37.24859779997496,,,,,,,,,37.23429739999119,37.24859779997496,40.23553309997078,42.238023299956694,,devJG,01,01,2024-07-16_22h44.03.998,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-16 22h44.07.161413 -0400,
,,,,,,,,,,,,,,,,,"     timestamp     speed  distance direction
0    27.227653  0.000000  0.000000         0
1    27.280541  0.000000  0.000000         0
2    27.341958  0.000000  0.000000         0
3    27.408690  0.000000  0.000000         0
4    27.458716  0.000000  0.000000         0
..         ...       ...       ...       ...
250  41.954618  0.000000 -0.627063         0
251  42.004855  0.000000 -0.627063         0
252  42.055114  0.000000 -0.627063         0
253  42.121492  0.615277 -0.586223         1
254  42.188024  0.311648 -0.565488         1

[255 rows x 4 columns]",,,,,,,,,
