trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,display_gratings.started,stim_grating.started,stim_grating.stopped,stim_grayScreen.started,display_gratings.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.038815799984149635,,0.023454300011508167,0.038815799984149635,2.039167999988422,2.039167999988422,5.010843899974134,464250,001,2024-07-02_18h57.11.361,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-02 18h57.16.379773 -0400,
1,0,1,0,5.02593090001028,,5.011434599990025,5.02593090001028,7.026630999986082,7.026630999986082,10.014875799999572,464250,001,2024-07-02_18h57.11.361,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-02 18h57.16.379773 -0400,
2,0,2,0,10.02974919998087,,10.015441600000486,10.02974919998087,12.030661900003906,12.030661900003906,15.002304599969648,464250,001,2024-07-02_18h57.11.361,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-02 18h57.16.379773 -0400,
3,0,3,0,15.017434099980164,,15.002880999993067,15.017434099980164,17.017950400011614,17.017950400011614,20.006261400005314,464250,001,2024-07-02_18h57.11.361,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-02 18h57.16.379773 -0400,
4,0,4,0,20.021140499971807,,20.00679090002086,20.021140499971807,22.022041599964723,22.022041599964723,25.010179199976847,464250,001,2024-07-02_18h57.11.361,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-02 18h57.16.379773 -0400,
5,0,5,0,25.025450600020122,,25.01071659999434,25.025450600020122,27.026126399985515,27.026126399985515,30.014887899975292,464250,001,2024-07-02_18h57.11.361,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-02 18h57.16.379773 -0400,
6,0,6,0,30.029225900012534,,30.01547510002274,30.029225900012534,32.03011870000046,32.03011870000046,35.00241449999157,464250,001,2024-07-02_18h57.11.361,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-02 18h57.16.379773 -0400,
7,0,7,0,35.01697110000532,,35.00295100000221,35.01697110000532,37.017487599980086,37.017487599980086,40.00584090000484,464250,001,2024-07-02_18h57.11.361,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-02 18h57.16.379773 -0400,
,,,,,,40.006406100001186,,,,,,,,,,,,
