trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,display_gratings.started,stim_grating.started,stim_grating.stopped,stim_grayScreen.started,display_gratings.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.028664999990724027,,0.013033499999437481,0.028664999990724027,2.0291874000104144,2.0291874000104144,5.000997599971015,586581,001,2024-07-02_18h55.36.286,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-02 18h55.40.585355 -0400,
1,0,1,0,5.016114099998958,,5.001561800017953,5.016114099998958,7.016638699977193,7.016638699977193,10.006527799996547,586581,001,2024-07-02_18h55.36.286,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-02 18h55.40.585355 -0400,
2,0,2,0,10.020381800015457,,10.007121399976313,10.020381800015457,12.020872799970675,12.020872799970675,15.010130700014997,586581,001,2024-07-02_18h55.36.286,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-02 18h55.40.585355 -0400,
3,0,3,0,15.024263700004667,,15.0107255000039,15.024263700004667,17.024787099973764,17.024787099973764,20.01352679997217,586581,001,2024-07-02_18h55.36.286,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-02 18h55.40.585355 -0400,
4,0,4,0,20.02837289997842,,20.014064599992707,20.02837289997842,22.028784099966288,22.028784099966288,25.00109059998067,586581,001,2024-07-02_18h55.36.286,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-02 18h55.40.585355 -0400,
5,0,5,0,25.015497700020205,,25.001696499995887,25.015497700020205,27.01625069999136,27.01625069999136,30.00499529996887,586581,001,2024-07-02_18h55.36.286,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-02 18h55.40.585355 -0400,
6,0,6,0,30.019933099974878,,30.005566000007093,30.019933099974878,32.02024290000554,32.02024290000554,35.00852189998841,586581,001,2024-07-02_18h55.36.286,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-02 18h55.40.585355 -0400,
7,0,7,0,35.023542599985376,,35.00905379996402,35.023542599985376,37.02418269996997,37.02418269996997,40.012210400018375,586581,001,2024-07-02_18h55.36.286,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-02 18h55.40.585355 -0400,
,,,,,,40.012739999976475,,,,,,,,,,,,
