9.1195 	EXP 	Created stim_grating = GratingStim(__class__=<class 'psychopy.visual.grating.GratingStim'>, anchor='center', autoDraw=False, autoLog=True, blendmode='avg', color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, draggable=False, interpolate=True, mask=None, maskParams=None, name='stim_grating', opacity=1.0, ori=1.0, phase=array([1., 1.]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([5., 5.]), size=array([2., 2.]), tex='sin', texRes=256.0, units='height', win=Window(...))
9.1195 	EXP 	window1: mouseVisible = False
9.1214 	EXP 	Created stim_grayScreen = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([0., 0., 0.]), colorSpace='rgb', contrast=1.0, depth=-2.0, draggable=False, flipHoriz=False, flipVert=False, image=None, interpolate=True, mask=None, maskParams=None, name='stim_grayScreen', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([1., 1.]), texRes=128.0, units='height', win=Window(...))
0.0097 	EXP 	Created sequence: sequential, trialTypes=1, nReps=128, seed=None
0.0103 	EXP 	New trial (rep=0, index=0): None
0.0257 	EXP 	stim_grating: ori = 0.0
0.0257 	EXP 	stim_grating: autoDraw = True
0.0257 	EXP 	stim_grating: tex = 'sin'
2.0261 	EXP 	stim_grating: autoDraw = False
2.0261 	EXP 	stim_grayScreen: autoDraw = True
2.9189 	DATA 	Keypress: lshift
3.1473 	DATA 	Keypress: lwindows
3.5124 	DATA 	Keypress: left
5.0176 	EXP 	New trial (rep=1, index=0): None
5.0301 	EXP 	stim_grating: autoDraw = False
5.0301 	EXP 	stim_grayScreen: autoDraw = False
5.0301 	EXP 	stim_grating: ori = 45.0
5.0301 	EXP 	stim_grating: autoDraw = True
7.0303 	EXP 	stim_grating: autoDraw = False
7.0303 	EXP 	stim_grayScreen: autoDraw = True
10.0024 	EXP 	New trial (rep=2, index=0): None
10.0171 	EXP 	stim_grating: autoDraw = False
10.0171 	EXP 	stim_grayScreen: autoDraw = False
10.0171 	EXP 	stim_grating: ori = 90.0
10.0171 	EXP 	stim_grating: autoDraw = True
12.0178 	EXP 	stim_grating: autoDraw = False
12.0178 	EXP 	stim_grayScreen: autoDraw = True
15.0085 	EXP 	New trial (rep=3, index=0): None
15.0212 	EXP 	stim_grating: autoDraw = False
15.0212 	EXP 	stim_grayScreen: autoDraw = False
15.0212 	EXP 	stim_grating: ori = 135.0
15.0212 	EXP 	stim_grating: autoDraw = True
17.0217 	EXP 	stim_grating: autoDraw = False
17.0217 	EXP 	stim_grayScreen: autoDraw = True
20.0108 	EXP 	New trial (rep=4, index=0): None
20.0252 	EXP 	stim_grating: autoDraw = False
20.0252 	EXP 	stim_grayScreen: autoDraw = False
20.0252 	EXP 	stim_grating: ori = 180.0
20.0252 	EXP 	stim_grating: autoDraw = True
22.0257 	EXP 	stim_grating: autoDraw = False
22.0257 	EXP 	stim_grayScreen: autoDraw = True
25.0148 	EXP 	New trial (rep=5, index=0): None
25.0296 	EXP 	stim_grating: autoDraw = False
25.0296 	EXP 	stim_grayScreen: autoDraw = False
25.0296 	EXP 	stim_grating: ori = 225.0
25.0296 	EXP 	stim_grating: autoDraw = True
27.0300 	EXP 	stim_grating: autoDraw = False
27.0300 	EXP 	stim_grayScreen: autoDraw = True
30.0034 	EXP 	New trial (rep=6, index=0): None
30.0167 	EXP 	stim_grating: autoDraw = False
30.0167 	EXP 	stim_grayScreen: autoDraw = False
30.0167 	EXP 	stim_grating: ori = 270.0
30.0167 	EXP 	stim_grating: autoDraw = True
32.0172 	EXP 	stim_grating: autoDraw = False
32.0172 	EXP 	stim_grayScreen: autoDraw = True
35.0066 	EXP 	New trial (rep=7, index=0): None
35.0207 	EXP 	stim_grating: autoDraw = False
35.0207 	EXP 	stim_grayScreen: autoDraw = False
35.0207 	EXP 	stim_grating: ori = 315.0
35.0207 	EXP 	stim_grating: autoDraw = True
37.0212 	EXP 	stim_grating: autoDraw = False
37.0212 	EXP 	stim_grayScreen: autoDraw = True
40.0083 	EXP 	New trial (rep=8, index=0): None
40.0251 	EXP 	window1: mouseVisible = True
40.0296 	DEBUG 	Saving data for Gratings_vis_stim_devJG_v0.3 ExperimentHandler
40.0305 	INFO 	saved data to C:\dev\PsychoPy\Gratings_vis_stim_devJG_v0.2\data/837769_Gratings_vis_stim_devJG_v0.3_2024-07-02_19h20.53.921.psydat
40.0315 	INFO 	saved data to 'C:\\dev\\PsychoPy\\Gratings_vis_stim_devJG_v0.2\\data/837769_Gratings_vis_stim_devJG_v0.3_2024-07-02_19h20.53.921.csv'
