trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,display_gratings.started,stim_grating.started,stim_grating.stopped,stim_grayScreen.started,display_gratings.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.027910599950701,,0.016286299971397966,0.027910599950701,2.030404399964027,2.030404399964027,5.006495199981146,276397,001,2024-07-02_18h50.53.401,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-02 18h50.57.524810 -0400,
1,0,1,0,5.017202799965162,,5.007053899986204,5.017202799965162,7.018081199959852,7.018081199959852,10.005036999995355,276397,001,2024-07-02_18h50.53.401,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-02 18h50.57.524810 -0400,
2,0,2,0,10.021548299991991,,10.005317199975252,10.021548299991991,12.02163059997838,12.02163059997838,15.00885990000097,276397,001,2024-07-02_18h50.53.401,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-02 18h50.57.524810 -0400,
3,0,3,0,15.025446399988141,,15.00912929995684,15.025446399988141,17.02618549996987,17.02618549996987,20.014422599982936,276397,001,2024-07-02_18h50.53.401,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-02 18h50.57.524810 -0400,
4,0,4,0,20.029463499959093,,20.01494709996041,20.029463499959093,22.03021539998008,22.03021539998008,25.0026521999971,276397,001,2024-07-02_18h50.53.401,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-02 18h50.57.524810 -0400,
5,0,5,0,25.016803699953016,,25.003214399970602,25.016803699953016,27.01758709998103,27.01758709998103,30.00591439998243,276397,001,2024-07-02_18h50.53.401,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-02 18h50.57.524810 -0400,
6,0,6,0,30.021039799961727,,30.006435899995267,30.021039799961727,32.02180009998847,32.02180009998847,35.00979749998078,276397,001,2024-07-02_18h50.53.401,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-02 18h50.57.524810 -0400,
7,0,7,0,35.02508009999292,,35.01032849994954,35.02508009999292,37.02573889994528,37.02573889994528,40.014421099971514,276397,001,2024-07-02_18h50.53.401,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-02 18h50.57.524810 -0400,
8,0,8,0,40.029002299997956,,40.015018499980215,40.029002299997956,42.029786699975375,42.029786699975375,45.002179299946874,276397,001,2024-07-02_18h50.53.401,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-02 18h50.57.524810 -0400,
,,,,,,45.00279469997622,,,,,,,,,,,,
