trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,buildGratings.started,buildGratings.stopped,grating_angle.expStartVal,display_gratings.started,stim_grating.started,stim_grayScreen.started,stim_grating.stopped,stim_grayScreen.stopped,display_gratings.stopped,grating_angle.endExpVal,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.016329700127243996,0.016532900044694543,0,,,,,,,,563200,001,2024-06-26_17h05.49.684,Gratings_vis_stim_devJG_v0.2,2024.1.5,None,2024-06-26 17h05.53.276887 -0400,
0,0,0,0,0.03370700008235872,,,,,0.016852700151503086,0.03370700008235872,0.03370700008235872,0.3670006999745965,0.3670006999745965,0.3516844001132995,,563200,001,2024-06-26_17h05.49.684,Gratings_vis_stim_devJG_v0.2,2024.1.5,None,2024-06-26 17h05.53.276887 -0400,
1,0,1,0,0.3670006999745965,,,,,0.35181340016424656,0.3670006999745965,0.3670006999745965,0.700559200020507,0.700559200020507,0.6852214001119137,,563200,001,2024-06-26_17h05.49.684,Gratings_vis_stim_devJG_v0.2,2024.1.5,None,2024-06-26 17h05.53.276887 -0400,
2,0,2,0,0.700559200020507,,,,,0.6853764001280069,0.700559200020507,0.700559200020507,1.034124800004065,1.034124800004065,1.0188859000336379,,563200,001,2024-06-26_17h05.49.684,Gratings_vis_stim_devJG_v0.2,2024.1.5,None,2024-06-26 17h05.53.276887 -0400,
3,0,3,0,1.034124800004065,,,,,1.0190161000937223,1.034124800004065,1.034124800004065,1.3678224999457598,1.3678224999457598,1.3524577000644058,,563200,001,2024-06-26_17h05.49.684,Gratings_vis_stim_devJG_v0.2,2024.1.5,None,2024-06-26 17h05.53.276887 -0400,
4,0,4,0,1.3678224999457598,,,,,1.3525855001062155,1.3678224999457598,1.3678224999457598,1.7007909000385553,1.7007909000385553,1.685990700032562,,563200,001,2024-06-26_17h05.49.684,Gratings_vis_stim_devJG_v0.2,2024.1.5,None,2024-06-26 17h05.53.276887 -0400,
,,,,,,,,,,,,,,,0,,,,,,,,
