trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,buildGratings.started,buildGratings.stopped,grating_angle.expStartVal,display_gratings.started,stim_grating.started,stim_grating.stopped,stim_grayScreen.started,stim_grayScreen.stopped,display_gratings.stopped,grating_angle.endExpVal,participant,session,date,expName,psychopyVersion,frameRate,expStart,
25,0,25,0,125.15416809999442,,,,,125.1376775999961,125.15416809999442,127.15475539999898,127.15475539999898,130.1584681999957,130.14142079999874,,855682,001,2024-06-28_12h31.53.487,Gratings_vis_stim_devJG_v0.2,2024.1.5,None,2024-06-28 12h31.57.802627 -0400,
26,0,26,0,130.1584681999957,,,,,130.14169019999827,130.1584681999957,132.15898939999897,132.15898939999897,135.16208729999926,135.145171199998,,855682,001,2024-06-28_12h31.53.487,Gratings_vis_stim_devJG_v0.2,2024.1.5,None,2024-06-28 12h31.57.802627 -0400,
27,0,27,0,135.16208729999926,,,,,135.1454448999939,135.16208729999926,137.16290060000028,137.16290060000028,140.16580509999767,140.1496274999954,,855682,001,2024-06-28_12h31.53.487,Gratings_vis_stim_devJG_v0.2,2024.1.5,None,2024-06-28 12h31.57.802627 -0400,
28,0,28,0,140.16580509999767,,,,,140.14989599999535,140.16580509999767,142.1670457999935,142.1670457999935,145.17034079999576,145.15368630000012,,855682,001,2024-06-28_12h31.53.487,Gratings_vis_stim_devJG_v0.2,2024.1.5,None,2024-06-28 12h31.57.802627 -0400,
29,0,29,0,145.17034079999576,,,,,145.15395989999524,145.17034079999576,147.1710419999945,147.1710419999945,150.17471309999382,150.1575859999939,,855682,001,2024-06-28_12h31.53.487,Gratings_vis_stim_devJG_v0.2,2024.1.5,None,2024-06-28 12h31.57.802627 -0400,
30,0,30,0,150.17471309999382,,,,,150.15785049999977,150.17471309999382,152.17535089999728,152.17535089999728,155.17845249999664,155.1616012999948,,855682,001,2024-06-28_12h31.53.487,Gratings_vis_stim_devJG_v0.2,2024.1.5,None,2024-06-28 12h31.57.802627 -0400,
31,0,31,0,155.17845249999664,,,,,155.16187179999542,155.17845249999664,157.17924999999377,157.17924999999377,160.18229259999498,160.16574430000037,,855682,001,2024-06-28_12h31.53.487,Gratings_vis_stim_devJG_v0.2,2024.1.5,None,2024-06-28 12h31.57.802627 -0400,
32,0,32,0,160.18229259999498,,,,,160.166015099996,160.18229259999498,162.18318569999974,162.18318569999974,165.1863885999992,165.1697167999955,,855682,001,2024-06-28_12h31.53.487,Gratings_vis_stim_devJG_v0.2,2024.1.5,None,2024-06-28 12h31.57.802627 -0400,
33,0,33,0,165.1863885999992,,,,,165.16999119999673,165.1863885999992,167.1872516000003,167.1872516000003,170.1908398999949,170.17370129999472,,855682,001,2024-06-28_12h31.53.487,Gratings_vis_stim_devJG_v0.2,2024.1.5,None,2024-06-28 12h31.57.802627 -0400,
34,0,34,0,170.1908398999949,,,,,170.17396849999932,170.1908398999949,172.1914512000003,172.1914512000003,175.19461489999958,175.17772729999706,,855682,001,2024-06-28_12h31.53.487,Gratings_vis_stim_devJG_v0.2,2024.1.5,None,2024-06-28 12h31.57.802627 -0400,
35,0,35,0,175.19461489999958,,,,,175.17799649999506,175.19461489999958,177.195395799994,177.195395799994,180.19849509999767,180.18212259999564,,855682,001,2024-06-28_12h31.53.487,Gratings_vis_stim_devJG_v0.2,2024.1.5,None,2024-06-28 12h31.57.802627 -0400,
36,0,36,0,180.19849509999767,,,,,180.18239249999897,180.19849509999767,182.19938239999465,182.19938239999465,185.2027267999947,185.1859712000005,,855682,001,2024-06-28_12h31.53.487,Gratings_vis_stim_devJG_v0.2,2024.1.5,None,2024-06-28 12h31.57.802627 -0400,
37,0,37,0,185.2027267999947,,,,,185.1862445000006,185.2027267999947,187.2034446999969,187.2034446999969,190.20704969999497,190.18986699999368,,855682,001,2024-06-28_12h31.53.487,Gratings_vis_stim_devJG_v0.2,2024.1.5,None,2024-06-28 12h31.57.802627 -0400,
38,0,38,0,190.20704969999497,,,,,190.19013699999778,190.20704969999497,192.20769859999564,192.20769859999564,195.21075149999524,195.19390949999797,,855682,001,2024-06-28_12h31.53.487,Gratings_vis_stim_devJG_v0.2,2024.1.5,None,2024-06-28 12h31.57.802627 -0400,
39,0,39,0,195.21075149999524,,,,,195.19418409999344,195.21075149999524,197.2114175999959,197.2114175999959,200.21471559999918,200.19813379999687,,855682,001,2024-06-28_12h31.53.487,Gratings_vis_stim_devJG_v0.2,2024.1.5,None,2024-06-28 12h31.57.802627 -0400,
40,0,40,0,200.21471559999918,,,,,200.19868049999786,200.21471559999918,202.21544789999461,202.21544789999461,205.21507029999339,205.20259559999977,,855682,001,2024-06-28_12h31.53.487,Gratings_vis_stim_devJG_v0.2,2024.1.5,None,2024-06-28 12h31.57.802627 -0400,
41,0,41,0,205.21507029999339,,,,,205.20314719999442,205.21507029999339,207.21659589999763,207.21659589999763,210.2202244,210.2084337999986,,855682,001,2024-06-28_12h31.53.487,Gratings_vis_stim_devJG_v0.2,2024.1.5,None,2024-06-28 12h31.57.802627 -0400,
42,0,42,0,210.2202244,,,,,210.20901239999512,210.2202244,212.2228163999971,212.2228163999971,215.2261068999942,215.21064999999362,,855682,001,2024-06-28_12h31.53.487,Gratings_vis_stim_devJG_v0.2,2024.1.5,None,2024-06-28 12h31.57.802627 -0400,
43,0,43,0,215.2261068999942,,,,,215.2109208999973,215.2261068999942,217.22852039999998,217.22852039999998,220.23025249999773,220.21479890000046,,855682,001,2024-06-28_12h31.53.487,Gratings_vis_stim_devJG_v0.2,2024.1.5,None,2024-06-28 12h31.57.802627 -0400,
44,0,44,0,220.23025249999773,,,,,220.21507059999567,220.23025249999773,222.23178209999605,222.23178209999605,225.2341751999993,225.21874989999924,,855682,001,2024-06-28_12h31.53.487,Gratings_vis_stim_devJG_v0.2,2024.1.5,None,2024-06-28 12h31.57.802627 -0400,
45,0,45,0,225.2341751999993,,,,,225.21901760000037,225.2341751999993,227.23509009999543,227.23509009999543,230.23917289999372,230.22267329999886,,855682,001,2024-06-28_12h31.53.487,Gratings_vis_stim_devJG_v0.2,2024.1.5,None,2024-06-28 12h31.57.802627 -0400,
46,0,46,0,230.23917289999372,,,,,230.22294529999635,230.23917289999372,232.239802899996,232.239802899996,235.24238879999757,235.22677799999656,,855682,001,2024-06-28_12h31.53.487,Gratings_vis_stim_devJG_v0.2,2024.1.5,None,2024-06-28 12h31.57.802627 -0400,
47,0,47,0,235.24238879999757,,,,,235.22705219999625,235.24238879999757,237.24396379999962,237.24396379999962,240.2971166999996,240.28032349999557,,855682,001,2024-06-28_12h31.53.487,Gratings_vis_stim_devJG_v0.2,2024.1.5,None,2024-06-28 12h31.57.802627 -0400,
48,0,48,0,240.2971166999996,,,,,240.28084780000063,240.2971166999996,242.2979922999948,242.2979922999948,245.30129289999604,245.28505819999555,,855682,001,2024-06-28_12h31.53.487,Gratings_vis_stim_devJG_v0.2,2024.1.5,None,2024-06-28 12h31.57.802627 -0400,
49,0,49,0,245.30129289999604,,,,,245.28532489999634,245.30129289999604,247.30198079999536,247.30198079999536,250.30556579999393,250.29014109999844,,855682,001,2024-06-28_12h31.53.487,Gratings_vis_stim_devJG_v0.2,2024.1.5,None,2024-06-28 12h31.57.802627 -0400,
50,0,50,0,250.30556579999393,,,,,250.29053009999916,250.30556579999393,252.30597439999838,252.30597439999838,255.30925609999395,255.29310519999854,,855682,001,2024-06-28_12h31.53.487,Gratings_vis_stim_devJG_v0.2,2024.1.5,None,2024-06-28 12h31.57.802627 -0400,
51,0,51,0,255.30925609999395,,,,,255.2933744999973,255.30925609999395,257.3100967999999,257.3100967999999,260.31352639999386,260.2972221999953,,855682,001,2024-06-28_12h31.53.487,Gratings_vis_stim_devJG_v0.2,2024.1.5,None,2024-06-28 12h31.57.802627 -0400,
52,0,52,0,260.31352639999386,,,,,260.2975026999993,260.31352639999386,262.3142097999953,262.3142097999953,265.31747899999755,265.30124899999646,,855682,001,2024-06-28_12h31.53.487,Gratings_vis_stim_devJG_v0.2,2024.1.5,None,2024-06-28 12h31.57.802627 -0400,
53,0,53,0,265.31747899999755,,,,,265.3015180000002,265.31747899999755,267.3181153999976,267.3181153999976,270.32168689999526,270.30532509999466,,855682,001,2024-06-28_12h31.53.487,Gratings_vis_stim_devJG_v0.2,2024.1.5,None,2024-06-28 12h31.57.802627 -0400,
54,0,54,0,270.32168689999526,,,,,270.3055905000001,270.32168689999526,272.3221376999936,272.3221376999936,275.3256244000004,275.30948669999634,,855682,001,2024-06-28_12h31.53.487,Gratings_vis_stim_devJG_v0.2,2024.1.5,None,2024-06-28 12h31.57.802627 -0400,
55,0,55,0,275.3256244000004,,,,,275.30975609999587,275.3256244000004,277.3260808999985,277.3260808999985,280.32950609999534,280.3127316999962,,855682,001,2024-06-28_12h31.53.487,Gratings_vis_stim_devJG_v0.2,2024.1.5,None,2024-06-28 12h31.57.802627 -0400,
56,0,56,0,280.32950609999534,,,,,280.3130447000003,280.32950609999534,282.3303237999935,282.3303237999935,285.33355019999726,285.3174555000005,,855682,001,2024-06-28_12h31.53.487,Gratings_vis_stim_devJG_v0.2,2024.1.5,None,2024-06-28 12h31.57.802627 -0400,
57,0,57,0,285.33355019999726,,,,,285.3177230000001,285.33355019999726,287.3344816999961,287.3344816999961,290.3384137999965,290.3218640999985,,855682,001,2024-06-28_12h31.53.487,Gratings_vis_stim_devJG_v0.2,2024.1.5,None,2024-06-28 12h31.57.802627 -0400,
58,0,58,0,290.3384137999965,,,,,290.3224073999954,290.3384137999965,292.3383528999984,292.3383528999984,295.3756684999971,295.35975949999556,,855682,001,2024-06-28_12h31.53.487,Gratings_vis_stim_devJG_v0.2,2024.1.5,None,2024-06-28 12h31.57.802627 -0400,
59,0,59,0,295.3756684999971,,,,,295.3602994999965,295.3756684999971,297.3756831999999,297.3756831999999,300.37904299999354,300.36213919999864,,855682,001,2024-06-28_12h31.53.487,Gratings_vis_stim_devJG_v0.2,2024.1.5,None,2024-06-28 12h31.57.802627 -0400,
60,0,60,0,300.37904299999354,,,,,300.3624184,300.37904299999354,302.3798140999934,302.3798140999934,305.38321119999455,305.3660443999979,,855682,001,2024-06-28_12h31.53.487,Gratings_vis_stim_devJG_v0.2,2024.1.5,None,2024-06-28 12h31.57.802627 -0400,
61,0,61,0,305.38321119999455,,,,,305.36642419999407,305.38321119999455,307.38395409999794,307.38395409999794,310.387404699999,310.3710441999938,,855682,001,2024-06-28_12h31.53.487,Gratings_vis_stim_devJG_v0.2,2024.1.5,None,2024-06-28 12h31.57.802627 -0400,
62,0,62,0,310.387404699999,,,,,310.37130789999355,310.387404699999,312.3880145000003,312.3880145000003,315.39136919999873,315.37504400000034,,855682,001,2024-06-28_12h31.53.487,Gratings_vis_stim_devJG_v0.2,2024.1.5,None,2024-06-28 12h31.57.802627 -0400,
63,0,63,0,315.39136919999873,,,,,315.37531569999555,315.39136919999873,317.39199409999856,317.39199409999856,320.39520349999657,320.3789809999944,,855682,001,2024-06-28_12h31.53.487,Gratings_vis_stim_devJG_v0.2,2024.1.5,None,2024-06-28 12h31.57.802627 -0400,
64,0,64,0,320.39520349999657,,,,,320.3792497999966,320.39520349999657,322.3957586999968,322.3957586999968,325.3992313999988,325.38234919999377,,855682,001,2024-06-28_12h31.53.487,Gratings_vis_stim_devJG_v0.2,2024.1.5,None,2024-06-28 12h31.57.802627 -0400,
65,0,65,0,325.3992313999988,,,,,325.3826220999981,325.3992313999988,327.40002749999985,327.40002749999985,330.40367100000003,330.3872207999957,,855682,001,2024-06-28_12h31.53.487,Gratings_vis_stim_devJG_v0.2,2024.1.5,None,2024-06-28 12h31.57.802627 -0400,
66,0,66,0,330.40367100000003,,,,,330.3874929999947,330.40367100000003,332.4040757999974,332.4040757999974,335.40748089999397,335.39113749999524,,855682,001,2024-06-28_12h31.53.487,Gratings_vis_stim_devJG_v0.2,2024.1.5,None,2024-06-28 12h31.57.802627 -0400,
67,0,67,0,335.40748089999397,,,,,335.3914081999974,335.40748089999397,337.4080818999937,337.4080818999937,340.41158619999624,340.39533149999625,,855682,001,2024-06-28_12h31.53.487,Gratings_vis_stim_devJG_v0.2,2024.1.5,None,2024-06-28 12h31.57.802627 -0400,
68,0,68,0,340.41158619999624,,,,,340.3955952999968,340.41158619999624,342.412313599998,342.412313599998,345.4155591999952,345.39862139999605,,855682,001,2024-06-28_12h31.53.487,Gratings_vis_stim_devJG_v0.2,2024.1.5,None,2024-06-28 12h31.57.802627 -0400,
