trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,display_gratings.started,stim_grating.started,stim_grating.stopped,stim_grayScreen.started,display_gratings.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.02565699996193871,,0.010270199971273541,0.02565699996193871,2.0260986000066623,2.0260986000066623,5.016924600000493,837769,001,2024-07-02_19h20.53.921,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-02 19h20.58.647197 -0400,
1,0,1,0,5.0301468999823555,,5.017576199956238,5.0301468999823555,7.0302501999540254,7.0302501999540254,10.001870899985079,837769,001,2024-07-02_19h20.53.921,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-02 19h20.58.647197 -0400,
2,0,2,0,10.017070500005502,,10.002426599967293,10.017070500005502,12.017778999987058,12.017778999987058,15.007785999972839,837769,001,2024-07-02_19h20.53.921,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-02 19h20.58.647197 -0400,
3,0,3,0,15.021222899958957,,15.008521499985363,15.021222899958957,17.021691599977203,17.021691599977203,20.01022009999724,837769,001,2024-07-02_19h20.53.921,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-02 19h20.58.647197 -0400,
4,0,4,0,20.025232299987692,,20.01079629996093,20.025232299987692,22.025732999958564,22.025732999958564,25.014304699958302,837769,001,2024-07-02_19h20.53.921,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-02 19h20.58.647197 -0400,
5,0,5,0,25.029599000001326,,25.014833499968518,25.029599000001326,27.02997479995247,27.02997479995247,30.00286419998156,837769,001,2024-07-02_19h20.53.921,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-02 19h20.58.647197 -0400,
6,0,6,0,30.01665669999784,,30.003450399963185,30.01665669999784,32.01723050000146,32.01723050000146,35.00606759998482,837769,001,2024-07-02_19h20.53.921,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-02 19h20.58.647197 -0400,
7,0,7,0,35.02069539995864,,35.00659760000417,35.02069539995864,37.02123309997842,37.02123309997842,40.007993799983524,837769,001,2024-07-02_19h20.53.921,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-02 19h20.58.647197 -0400,
,,,,,,40.00826129998313,,,,,,,,,,,,
