trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,display_gratings.started,stim_grating.started,stim_grating.stopped,stim_grayScreen.started,display_gratings.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.03652309998869896,,0.02044930000556633,0.03652309998869896,2.037033499975223,2.037033499975223,5.008205199963413,823126,001,2024-07-02_18h44.25.826,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-02 18h44.30.660777 -0400,
1,0,1,0,5.022899899980985,,5.0088489999761805,5.022899899980985,7.023560600006022,7.023560600006022,10.01242889999412,823126,001,2024-07-02_18h44.25.826,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-02 18h44.30.660777 -0400,
2,0,2,0,10.027388499991503,,10.013076599978376,10.027388499991503,12.027796000009403,12.027796000009403,15.01639989996329,823126,001,2024-07-02_18h44.25.826,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-02 18h44.30.660777 -0400,
3,0,3,0,15.0311640999862,,15.016971300006844,15.0311640999862,17.031761699996423,17.031761699996423,20.004618699953426,823126,001,2024-07-02_18h44.25.826,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-02 18h44.30.660777 -0400,
4,0,4,0,20.01847519999137,,20.005151099991053,20.01847519999137,22.019253799982835,22.019253799982835,25.009003199986182,823126,001,2024-07-02_18h44.25.826,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-02 18h44.30.660777 -0400,
5,0,5,0,25.022566900006495,,25.00969289999921,25.022566900006495,27.02322669996647,27.02322669996647,30.012167699984275,823126,001,2024-07-02_18h44.25.826,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-02 18h44.30.660777 -0400,
6,0,6,0,30.026499299972784,,30.012712299998384,30.026499299972784,32.02731609996408,32.02731609996408,35.01676219998626,823126,001,2024-07-02_18h44.25.826,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-02 18h44.30.660777 -0400,
7,0,7,0,35.03056909999577,,35.01733369997237,35.03056909999577,37.03131130000111,37.03131130000111,40.00283169996692,823126,001,2024-07-02_18h44.25.826,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-02 18h44.30.660777 -0400,
,,,,,,40.003357300010975,,,,,,,,,,,,
