trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,buildGratings.started,buildGratings.stopped,grating_angle.expStartVal,nidaqTrigger.started,nidaqTrigger.stopped,display_gratings.started,stim_grating.started,stim_grayScreen.started,stim_grayScreen.stopped,stim_grating.stopped,display_gratings.stopped,grating_angle.endExpVal,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.01883209985680878,0.019050899893045425,0,,,,,,,,,,310739,001,2024-06-27_13h57.37.048,Gratings_vis_stim_devJG_v0.2,2024.1.5,None,2024-06-27 13h57.41.788197 -0400,
,,,,,,,,,0.019063799874857068,29.42748239985667,,,,,,,,310739,001,2024-06-27_13h57.37.048,Gratings_vis_stim_devJG_v0.2,2024.1.5,None,2024-06-27 13h57.41.788197 -0400,
0,0,0,0,29.442075799917802,,,,,,,29.42791650001891,29.442075799917802,29.442075799917802,29.826023599831387,31.16032909997739,31.14501790003851,,310739,001,2024-06-27_13h57.37.048,Gratings_vis_stim_devJG_v0.2,2024.1.5,None,2024-06-27 13h57.41.788197 -0400,
1,0,1,0,31.16032909997739,,,,,,,31.145167300011963,31.16032909997739,31.16032909997739,31.493909299839288,32.82842389983125,32.81331570004113,,310739,001,2024-06-27_13h57.37.048,Gratings_vis_stim_devJG_v0.2,2024.1.5,None,2024-06-27 13h57.41.788197 -0400,
2,0,2,0,32.82842389983125,,,,,,,32.813450699904934,32.82842389983125,32.82842389983125,33.16192379989661,34.49629389983602,34.48098469991237,,310739,001,2024-06-27_13h57.37.048,Gratings_vis_stim_devJG_v0.2,2024.1.5,None,2024-06-27 13h57.41.788197 -0400,
3,0,3,0,34.49629389983602,,,,,,,34.481127799954265,34.49629389983602,34.49629389983602,34.82993289991282,36.16431699995883,36.14903960004449,,310739,001,2024-06-27_13h57.37.048,Gratings_vis_stim_devJG_v0.2,2024.1.5,None,2024-06-27 13h57.41.788197 -0400,
4,0,4,0,36.16431699995883,,,,,,,36.149178999941796,36.16431699995883,36.16431699995883,36.49792899983004,37.831790699856356,37.81737619987689,,310739,001,2024-06-27_13h57.37.048,Gratings_vis_stim_devJG_v0.2,2024.1.5,None,2024-06-27 13h57.41.788197 -0400,
,,,,,,,,,,,,,,,,,1,,,,,,,,
