trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,display_gratings.started,stim_grating.started,stim_grating.stopped,stim_grayScreen.started,display_gratings.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.02552820002892986,,0.012912000005599111,0.02552820002892986,2.02594780002255,2.02594780002255,5.014617900014855,975333,001,2024-07-02_19h26.18.794,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-02 19h26.22.962061 -0400,
1,0,1,0,5.029463700018823,,5.015173499996308,5.029463700018823,7.030108500039205,7.030108500039205,10.00197099999059,975333,001,2024-07-02_19h26.18.794,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-02 19h26.22.962061 -0400,
2,0,2,0,10.016572099993937,,10.002523400005884,10.016572099993937,12.017191499995533,12.017191499995533,15.004044500004966,975333,001,2024-07-02_19h26.18.794,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-02 19h26.22.962061 -0400,
3,0,3,0,15.020136400009505,,15.004316700040363,15.020136400009505,17.02137800003402,17.02137800003402,20.009766400035005,975333,001,2024-07-02_19h26.18.794,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-02 19h26.22.962061 -0400,
4,0,4,0,20.024834299983922,,20.01029850001214,20.024834299983922,22.025438000040594,22.025438000040594,25.013901200029068,975333,001,2024-07-02_19h26.18.794,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-02 19h26.22.962061 -0400,
5,0,5,0,25.029100099985953,,25.014420800027438,25.029100099985953,27.02955939999083,27.02955939999083,30.001547100022435,975333,001,2024-07-02_19h26.18.794,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-02 19h26.22.962061 -0400,
6,0,6,0,30.01645950000966,,30.002081500017084,30.01645950000966,32.01695130002918,32.01695130002918,35.00570430001244,975333,001,2024-07-02_19h26.18.794,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-02 19h26.22.962061 -0400,
7,0,7,0,35.02060769998934,,35.006232400017325,35.02060769998934,37.02104710001731,37.02104710001731,40.01068300002953,975333,001,2024-07-02_19h26.18.794,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-02 19h26.22.962061 -0400,
,,,,,,40.01127810002072,,,,,,,,,,,,
