trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,buildGratings.started,buildGratings.stopped,grating_angle.expStartVal,display_gratings.started,stim_grating.started,stim_grating.stopped,stim_grayScreen.started,stim_grayScreen.stopped,display_gratings.stopped,grating_angle.endExpVal,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.012999300146475434,0.013202500063925982,0,,,,,,,,182303,001,2024-06-27_19h04.26.434,Gratings_vis_stim_devJG_v0.2,2024.1.5,None,2024-06-27 19h04.31.976269 -0400,
0,0,0,0,0.029618400149047375,,,,,0.013532700017094612,0.029618400149047375,1.6968739000149071,1.6968739000149071,3.3654522001743317,3.349582500057295,,182303,001,2024-06-27_19h04.26.434,Gratings_vis_stim_devJG_v0.2,2024.1.5,None,2024-06-27 19h04.31.976269 -0400,
1,0,1,0,3.3654522001743317,,,,,3.3497295000124723,3.3654522001743317,5.032735700020567,5.032735700020567,6.701341200154275,6.685422300128266,,182303,001,2024-06-27_19h04.26.434,Gratings_vis_stim_devJG_v0.2,2024.1.5,None,2024-06-27 19h04.31.976269 -0400,
2,0,2,0,6.701341200154275,,,,,6.685579400043935,6.701341200154275,8.36892360006459,8.36892360006459,10.037554900161922,10.021553700091317,,182303,001,2024-06-27_19h04.26.434,Gratings_vis_stim_devJG_v0.2,2024.1.5,None,2024-06-27 19h04.31.976269 -0400,
3,0,3,0,10.037554900161922,,,,,10.02171350014396,10.037554900161922,11.704984600190073,11.704984600190073,13.373591200215742,13.357640900183469,,182303,001,2024-06-27_19h04.26.434,Gratings_vis_stim_devJG_v0.2,2024.1.5,None,2024-06-27 19h04.31.976269 -0400,
4,0,4,0,13.373591200215742,,,,,13.357775200158358,13.373591200215742,15.040996300056577,15.040996300056577,16.708998400019482,16.69374840008095,,182303,001,2024-06-27_19h04.26.434,Gratings_vis_stim_devJG_v0.2,2024.1.5,None,2024-06-27 19h04.31.976269 -0400,
,,,,,,,,,,,,,,,20,,,,,,,,
