trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,display_gratings.started,stim_grating.started,stim_grating.stopped,stim_grayScreen.started,display_gratings.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.05116380000254139,,0.013035000010859221,0.05116380000254139,2.0610176000045612,2.0610176000045612,5.001800199970603,761753,001,2024-07-02_19h34.59.720,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-02 19h35.03.781296 -0400,
1,0,1,0,5.015346199972555,,5.002564499969594,5.015346199972555,7.016434899996966,7.016434899996966,10.00307310000062,761753,001,2024-07-02_19h34.59.720,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-02 19h35.03.781296 -0400,
2,0,2,0,10.019631100003608,,10.003401199996006,10.019631100003608,12.020046599966008,12.020046599966008,15.007466299983207,761753,001,2024-07-02_19h34.59.720,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-02 19h35.03.781296 -0400,
3,0,3,0,15.023697500000708,,15.007781799999066,15.023697500000708,17.024155299994163,17.024155299994163,20.013746900018305,761753,001,2024-07-02_19h34.59.720,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-02 19h35.03.781296 -0400,
4,0,4,0,20.027470899978653,,20.01429999998072,20.027470899978653,22.04480859998148,22.04480859998148,25.0007903999649,761753,001,2024-07-02_19h34.59.720,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-02 19h35.03.781296 -0400,
5,0,5,0,25.01616689999355,,25.001326699974015,25.01616689999355,27.016475400014315,27.016475400014315,30.0034588999697,761753,001,2024-07-02_19h34.59.720,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-02 19h35.03.781296 -0400,
6,0,6,0,30.019969000015408,,30.00371819996508,30.019969000015408,32.020492299983744,32.020492299983744,35.007261399994604,761753,001,2024-07-02_19h34.59.720,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-02 19h35.03.781296 -0400,
7,0,7,0,35.023670799972024,,35.00754510000115,35.023670799972024,37.02455639996333,37.02455639996333,40.011391400010325,761753,001,2024-07-02_19h34.59.720,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-02 19h35.03.781296 -0400,
8,0,8,0,40.02782409999054,,40.011654199974146,40.02782409999054,42.028594099974725,42.028594099974725,45.01570280001033,761753,001,2024-07-02_19h34.59.720,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-02 19h35.03.781296 -0400,
,,,,,,45.01596410002094,,,,,,,,,,,,
