trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,display_gratings.started,stim_grating.started,stim_grating.stopped,stim_grayScreen.started,display_gratings.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.037303299992345273,,0.023372800031211227,0.037303299992345273,2.037714100035373,2.037714100035373,5.009668799990322,666784,001,2024-07-02_19h00.08.997,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-02 19h00.13.691338 -0400,
1,0,1,0,5.024497400037944,,5.010233599983621,5.024497400037944,7.025394900003448,7.025394900003448,10.014008300029673,666784,001,2024-07-02_19h00.08.997,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-02 19h00.13.691338 -0400,
2,0,2,0,10.028786100039724,,10.014587300014682,10.028786100039724,12.02976679999847,12.02976679999847,15.001779899990652,666784,001,2024-07-02_19h00.08.997,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-02 19h00.13.691338 -0400,
3,0,3,0,15.01593709998997,,15.0023927000002,15.01593709998997,17.01693250000244,17.01693250000244,20.006089100032113,666784,001,2024-07-02_19h00.08.997,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-02 19h00.13.691338 -0400,
4,0,4,0,20.020301199983805,,20.006616100028623,20.020301199983805,22.02061569999205,22.02061569999205,25.009844699990936,666784,001,2024-07-02_19h00.08.997,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-02 19h00.13.691338 -0400,
5,0,5,0,25.024247399996966,,25.010367900016718,25.024247399996966,27.02487000002293,27.02487000002293,30.014392299985047,666784,001,2024-07-02_19h00.08.997,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-02 19h00.13.691338 -0400,
6,0,6,0,30.028214199992362,,30.014983600005507,30.028214199992362,32.02889700001106,32.02889700001106,35.00031339999987,666784,001,2024-07-02_19h00.08.997,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-02 19h00.13.691338 -0400,
7,0,7,0,35.01531340001384,,35.000839499989524,35.01531340001384,37.01565300003858,37.01565300003858,40.005216100020334,666784,001,2024-07-02_19h00.08.997,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-02 19h00.13.691338 -0400,
8,0,8,0,40.01963470003102,,40.0057458000374,40.01963470003102,42.020141099987086,42.020141099987086,45.00942200003192,666784,001,2024-07-02_19h00.08.997,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-02 19h00.13.691338 -0400,
,,,,,,45.00994550000178,,,,,,,,,,,,
