trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,display_gratings.started,stim_grating.started,stim_grating.stopped,stim_grayScreen.started,display_gratings.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.025428500026464462,,0.009785100002773106,0.025428500026464462,2.025958400045056,2.025958400045056,5.014865800039843,314908,001,2024-07-02_19h05.29.534,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-02 19h05.34.582711 -0400,
1,0,1,0,5.029351100034546,,5.015434900007676,5.029351100034546,7.030346599989571,7.030346599989571,10.001996300008614,314908,001,2024-07-02_19h05.29.534,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-02 19h05.34.582711 -0400,
2,0,2,0,10.01704950002022,,10.00264880002942,10.01704950002022,12.017386300023645,12.017386300023645,15.007135700026993,314908,001,2024-07-02_19h05.29.534,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-02 19h05.34.582711 -0400,
3,0,3,0,15.020582400029525,,15.00773350003874,15.020582400029525,17.020823600003496,17.020823600003496,20.008040599990636,314908,001,2024-07-02_19h05.29.534,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-02 19h05.34.582711 -0400,
4,0,4,0,20.02447599999141,,20.008304600021802,20.02447599999141,22.025246700039133,22.025246700039133,25.014386099996045,314908,001,2024-07-02_19h05.29.534,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-02 19h05.34.582711 -0400,
5,0,5,0,25.028914500027895,,25.015102300036233,25.028914500027895,27.029373300028965,27.029373300028965,30.00092040002346,314908,001,2024-07-02_19h05.29.534,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-02 19h05.34.582711 -0400,
6,0,6,0,30.015947000007145,,30.001448600029107,30.015947000007145,32.01663950004149,32.01663950004149,35.005706700030714,314908,001,2024-07-02_19h05.29.534,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-02 19h05.34.582711 -0400,
7,0,7,0,35.02012100000866,,35.006239100010134,35.02012100000866,37.020541200006846,37.020541200006846,40.01085740001872,314908,001,2024-07-02_19h05.29.534,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-02 19h05.34.582711 -0400,
8,0,8,0,40.02431260002777,,40.01144590001786,40.02431260002777,42.024273700022604,42.024273700022604,45.01349230000051,314908,001,2024-07-02_19h05.29.534,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-02 19h05.34.582711 -0400,
,,,,,,45.01400960003957,,,,,,,,,,,,
