trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,display_gratings.started,stim_grating.started,stim_grating.stopped,stim_grayScreen.started,display_gratings.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.03813490003813058,,0.022712600009981543,0.03813490003813058,2.038741900003515,2.038741900003515,5.011398200003896,137599,001,2024-07-02_19h17.14.584,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-02 19h17.18.852740 -0400,
1,0,1,0,5.025740000011865,,5.011994400003459,5.025740000011865,7.026169800024945,7.026169800024945,10.015528700023424,137599,001,2024-07-02_19h17.14.584,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-02 19h17.18.852740 -0400,
2,0,2,0,10.029884700023104,,10.016171300027054,10.029884700023104,12.030388900020625,12.030388900020625,15.00069670000812,137599,001,2024-07-02_19h17.14.584,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-02 19h17.18.852740 -0400,
3,0,3,0,15.017075000039767,,15.000981000019237,15.017075000039767,17.017714500019792,17.017714500019792,20.004681200021878,137599,001,2024-07-02_19h17.14.584,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-02 19h17.18.852740 -0400,
4,0,4,0,20.021133300033398,,20.004957500030287,20.021133300033398,22.021797300025355,22.021797300025355,25.008491900051013,137599,001,2024-07-02_19h17.14.584,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-02 19h17.18.852740 -0400,
5,0,5,0,25.02518360002432,,25.008758800046053,25.02518360002432,27.02557550003985,27.02557550003985,30.01494459999958,137599,001,2024-07-02_19h17.14.584,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-02 19h17.18.852740 -0400,
6,0,6,0,30.031327600008808,,30.01548590004677,30.031327600008808,32.029846300021745,32.029846300021745,35.00022090005223,137599,001,2024-07-02_19h17.14.584,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-02 19h17.18.852740 -0400,
7,0,7,0,35.016474800009746,,35.000810600002296,35.016474800009746,37.017218700028025,37.017218700028025,40.0041373000131,137599,001,2024-07-02_19h17.14.584,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-02 19h17.18.852740 -0400,
,,,,,,40.00442920002388,,,,,,,,,,,,
